43,Titan NFT #043,Normal,green,gray,Tokamak Blue,DAO Link,,,,,,,,,,,,
44,Titan NFT #044,Normal,green,gray,Tokamak Blue,DAO Link,,,,,,,,,,,,
45,Titan NFT #045,Rare,skyblue_gradient,skyblue_gradient,Tokamak White,Tokamak Link,,,,,,,,,,,,
46,Titan NFT #046,Normal,navy,gray,TONStarter,TONStarter Link,,,,,,,,,,,,
47,Titan NFT #047,Normal,green,gray,TONStarter,TONStarter Link,,,,,,,,,,,,
48,Titan NFT #048,Rare,skyblue_gradient,skyblue_gradient,Tokamak White,Tokamak Link,,,,,,,,,,,,
49,Titan NFT #049,Normal,red,gray,TONStarter,TONStarter Link,,,,,,,,,,,,
50,Titan NFT #050,Normal,red,gray,TONStarter,TONStarter Link,,,,,,,,,,,,
51,Titan NFT #051,Normal,mint,gray,Tokamak Blue,DAO Link,,,,,,,,,,,,
52,Titan NFT #052,Normal,blue,gray,Tokamak Blue,DAO Link,,,,,,,,,,,,
53,Titan NFT #053,Rare,skyblue_gradient,skyblue_gradient,Tokamak White,Tokamak Link,,,,,,,,,,,,
54,Titan NFT #054,Normal,blue,gray,TONStarter,TONStarter Link,,,,,,,,,,,,
55,Titan NFT #055,Unique,black_gradient,silver,Tokamak Bridge,Titan Link,,,,,,,,,,,,
56,Titan NFT #056,Normal,green,gray,TONStarter,TONStarter Link,,,,,,,,,,,,
57,Titan NFT #057,Normal,blue,gray,TONStarter,TONStarter Link,,,,,,,,,,,,
58,Titan NFT #058,Rare,skyblue_gradient,skyblue_gradient,Tokamak White,Tokamak Link,,,,,,,,,,,,
59,Titan NFT #059,Normal,yellow,gray,TONStarter,TONStarter Link,,,,,,,,,,,,
60,Titan NFT #060,Rare,skyblue_gradient,skyblue_gradient,Tokamak White,Tokamak Link,,,,,,,,,,,,
61,Titan NFT #061,Normal,blue,gray,TONStarter,TONStarter Link,,,,,,,,,,,,
62,Titan NFT #062,Rare,skyblue_gradient,skyblue_gradient,Tokamak White,Tokamak Link,,,,,,,,,,,,
